Accession	Protein_name	Database
IPI00626504.2	Similar to Acidic ribosomal phosphoprotein P0	International Protein Index (IPI)
IPI00652811.1	Putative uncharacterized protein	International Protein Index (IPI)
IPI00817013.1	Nedd4 protein	International Protein Index (IPI)
IPI00273742.4	Dynein, axonemal, heavy chain 1	International Protein Index (IPI)
IPI00758386.1	Similar to ciliary rootlet coiled-coil, rootletin	International Protein Index (IPI)
IPI00880870.1	16 kDa protein	International Protein Index (IPI)
IPI00880601.1	56 kDa protein	International Protein Index (IPI)
IPI00750151.1	MKIAA0291 protein (Fragment)	International Protein Index (IPI)
IPI00604969.3	Titin isoform N2-A	International Protein Index (IPI)
IPI00853832.1	Similar to Ribosomal protein L17 isoform 1	International Protein Index (IPI)
IPI00130827.3	Zinc finger protein 105	International Protein Index (IPI)
IPI00761653.1	Putative uncharacterized protein	International Protein Index (IPI)
IPI00857330.1	19 kDa protein	International Protein Index (IPI)
IPI00348108.3	Hypothetical protein LOC215895	International Protein Index (IPI)
IPI00889899.1	Hypothetical protein	International Protein Index (IPI)
IPI00670378.3	Hypothetical protein isoform 1	International Protein Index (IPI)
IPI00460103.1	Hypothetical protein	International Protein Index (IPI)
IPI00831274.1	41 kDa protein	International Protein Index (IPI)
IPI00850695.1	#NAME?	International Protein Index (IPI)
IPI00896707.1	EG331392 protein	International Protein Index (IPI)
IPI00321022.2	Hemicentin 2	International Protein Index (IPI)
IPI00466145.4	Similar to hCG2016250	International Protein Index (IPI)
IPI00377342.2	Similar to ubiquitin A-52 residue ribosomal protein fusion product 1	International Protein Index (IPI)
IPI00649364.1	Peptidyl prolyl isomerase H	International Protein Index (IPI)
IPI00648357.1	Solute carrier family 25 (Mitochondrial carrier	International Protein Index (IPI)
IPI00621468.3	Similar to ubiquitin A-52 residue ribosomal protein fusion product 1	International Protein Index (IPI)
IPI00653284.1	Trpc6 protein	International Protein Index (IPI)
IPI00850449.1	Similar to GTPase KRas precursor	International Protein Index (IPI)
IPI00928242.1	5 kDa protein	International Protein Index (IPI)
IPI00881575.1	73 kDa protein	International Protein Index (IPI)
IPI00857239.1	15 kDa protein	International Protein Index (IPI)
IPI00648666.2	17 kDa protein	International Protein Index (IPI)
IPI00271835.2	Radixin isoform b	International Protein Index (IPI)
IPI00462790.2	Coagulation factor III	International Protein Index (IPI)
IPI00649508.1	PC4 and SFRS1 interacting protein 1	International Protein Index (IPI)
IPI00851023.3	Microtubule-actin crosslinking factor 1	International Protein Index (IPI)
IPI00677508.3	Similar to Regulator of G-protein signalling 22	International Protein Index (IPI)
IPI00403993.5	Synaptic nuclear envelope 1 isoform 3	International Protein Index (IPI)
IPI00848802.1	Similar to Ac2-210 isoform 2	International Protein Index (IPI)
IPI00855003.1	Dyskeratosis congenita 1, dyskerin homolog	International Protein Index (IPI)
IPI00226404.1	Eif1a-like	International Protein Index (IPI)
IPI00624988.4	Cortactin, isoform CRA_e	International Protein Index (IPI)
IPI00749688.1	Coiled-coil domain containing 85C	International Protein Index (IPI)
IPI00762403.1	Ubiquitin specific protease 31	International Protein Index (IPI)
IPI00654997.1	Tm9sf4 protein	International Protein Index (IPI)
IPI00848611.1	Similar to Fibrillarin isoform 2	International Protein Index (IPI)
IPI00720020.2	Smad ubiquitination regulatory factor 1 isoform 2	International Protein Index (IPI)
IPI00265700.2	Coiled-coil domain containing 144B	International Protein Index (IPI)
IPI00758351.2	Lyn protein	International Protein Index (IPI)
IPI00720003.1	Mannosidase, beta A, lysosomal-like	International Protein Index (IPI)
IPI00867890.1	Vomeronasal 2, receptor 2	International Protein Index (IPI)
IPI00785299.1	Atp2b3 protein	International Protein Index (IPI)
IPI00623749.1	A kinase (PRKA) anchor protein (yotiao) 9	International Protein Index (IPI)
IPI00857885.1	Dmwd protein	International Protein Index (IPI)
IPI00757544.1	Chromodomain helicase DNA binding protein 6	International Protein Index (IPI)
IPI00387312.2	Phosphofructokinase, liver, B-type	International Protein Index (IPI)
IPI00881282.1	Putative uncharacterized protein	International Protein Index (IPI)
IPI00129174.6	Schlafen 4	International Protein Index (IPI)
IPI00648869.1	Heterogeneous nuclear ribonucleoprotein R	International Protein Index (IPI)
IPI00465574.2	Putative uncharacterized protein	International Protein Index (IPI)
IPI00885887.1	7 kDa protein	International Protein Index (IPI)
IPI00403406.1	Erythrocyte protein band 4.1-like 2, isoform CRA_c	International Protein Index (IPI)
IPI00553623.1	Mannose-P-dolichol utilization defect 1	International Protein Index (IPI)
IPI00467152.4	Guanine nucleotide binding protein, alpha inhibiting 1	International Protein Index (IPI)
IPI00652247.1	Putative uncharacterized protein	International Protein Index (IPI)
IPI00720163.1	RNA binding motif, single stranded interacting protein 2 isoform b	International Protein Index (IPI)
IPI00881332.1	Cytoplasmic activation/proliferation-associated protein 1 isoform b	International Protein Index (IPI)
IPI00776140.1	Capping protein (Actin filament) muscle Z-line, beta, isoform CRA_a	International Protein Index (IPI)
IPI00849457.1	Similar to Translocase of outer mitochondrial membrane 20 homolog	International Protein Index (IPI)
IPI00761773.2	Hypothetical protein LOC399603	International Protein Index (IPI)
IPI00625848.2	Plcb4	International Protein Index (IPI)
IPI00672807.2	Similar to ribosomal protein L23a	International Protein Index (IPI)
IPI00464348.1	Putative uncharacterized protein (Fragment)	International Protein Index (IPI)
IPI00830254.1	Protein	International Protein Index (IPI)
IPI00663555.1	Similar to ribosomal protein	International Protein Index (IPI)
IPI00752849.2	67 kDa protein	International Protein Index (IPI)
IPI00349401.5	Splicing factor 3b, subunit 2	International Protein Index (IPI)
IPI00919176.1	9 kDa protein	International Protein Index (IPI)
IPI00874955.1	204 kDa protein	International Protein Index (IPI)
IPI00459008.1	Csnk1g1 protein	International Protein Index (IPI)
IPI00929787.1	Glycoprotein, synaptic 2 isoform 2	International Protein Index (IPI)
IPI00339648.2	Similar to ribosomal protein L23a	International Protein Index (IPI)
IPI00757748.1	20 kDa protein	International Protein Index (IPI)
IPI00886148.1	4 kDa protein	International Protein Index (IPI)
IPI00850216.1	Hypothetical protein isoform 2	International Protein Index (IPI)
IPI00830441.1	Protein	International Protein Index (IPI)
IPI00875096.1	71 kDa protein	International Protein Index (IPI)
IPI00755909.1	Similar to solute carrier family 12, member 2	International Protein Index (IPI)
IPI00111698.2	Sorting nexin family member 21	International Protein Index (IPI)
IPI00672505.1	Similar to Discs, large homolog 1 (Drosophila) isoform 4	International Protein Index (IPI)
IPI00648833.1	Novel protein	International Protein Index (IPI)
IPI00420814.3	Putative gag-pol protein	International Protein Index (IPI)
IPI00420724.4	Putative uncharacterized protein	International Protein Index (IPI)
IPI00895519.1	21 kDa protein	International Protein Index (IPI)
IPI00896015.1	DnaJ (Hsp40) homolog, subfamily B, member 6 isoform d	International Protein Index (IPI)
IPI00857988.1	64 kDa protein	International Protein Index (IPI)
IPI00115992.1	Similar to ribosomal protein S25	International Protein Index (IPI)
IPI00881775.1	20 kDa protein	International Protein Index (IPI)
IPI00857851.1	24 kDa protein	International Protein Index (IPI)
IPI00914087.1	58 kDa protein	International Protein Index (IPI)
IPI00918852.1	30 kDa protein	International Protein Index (IPI)
IPI00850393.1	Hypothetical protein isoform 2	International Protein Index (IPI)
IPI00110107.2	4.1G protein	International Protein Index (IPI)
IPI00753481.1	F-box only protein 3	International Protein Index (IPI)
IPI00750277.2	Myosin IIIA	International Protein Index (IPI)
IPI00830797.1	Splicing factor 1 isoform 2	International Protein Index (IPI)
IPI00930846.1	Transcription elongation factor A (SII) 1 isoform 3	International Protein Index (IPI)
IPI00876315.1	54 kDa protein	International Protein Index (IPI)
IPI00831376.1	14 kDa protein	International Protein Index (IPI)
IPI00885615.1	Synaptogyrin 2, isoform CRA_c	International Protein Index (IPI)
IPI00830600.1	33 kDa protein	International Protein Index (IPI)
IPI00277930.6	Putative uncharacterized protein	International Protein Index (IPI)
IPI00828266.2	Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide	International Protein Index (IPI)
IPI00668429.1	Desmoplakin isoform 2	International Protein Index (IPI)
IPI00653381.3	PDZ and LIM domain 5 isoform ENH1	International Protein Index (IPI)
IPI00654397.1	Putative uncharacterized protein	International Protein Index (IPI)
IPI00762483.3	Leucine rich repeat (in FLII) interacting protein 1 isoform 3	International Protein Index (IPI)
IPI00850219.1	Similar to exportin, tRNA	International Protein Index (IPI)
IPI00928041.1	12 kDa protein	International Protein Index (IPI)
IPI00467876.1	MCG14935, isoform CRA_d	International Protein Index (IPI)
IPI00553576.3	ATP-binding cassette, sub-family D, member 3	International Protein Index (IPI)
IPI00459570.1	Putative uncharacterized protein	International Protein Index (IPI)
IPI00123087.6	Coiled-coil domain containing 146	International Protein Index (IPI)
IPI00830589.1	5-aminolevulinate synthase 2 isoform b	International Protein Index (IPI)
IPI00126635.1	Tumor-related protein	International Protein Index (IPI)
IPI00881694.1	9 kDa protein	International Protein Index (IPI)
IPI00881402.2	Peroxisomal biogenesis factor 11 beta isoform 2	International Protein Index (IPI)
IPI00652960.1	Putative uncharacterized protein (Fragment)	International Protein Index (IPI)
IPI00314275.1	N-BAK1	International Protein Index (IPI)
IPI00652972.3	Erythrocyte protein band 4.1-like 1	International Protein Index (IPI)
IPI00876280.1	Protein	International Protein Index (IPI)
IPI00894593.1	30 kDa protein	International Protein Index (IPI)
IPI00387504.1	Putative uncharacterized protein	International Protein Index (IPI)
IPI00124248.1	Chloride channel, nucleotide-sensitive, 1A, isoform CRA_b	International Protein Index (IPI)
IPI00885802.1	Protein	International Protein Index (IPI)
IPI00124093.2	Mannosidase, alpha, class 1B, member 1	International Protein Index (IPI)
IPI00115875.8	Phosphatidylinositol 4-kinase type 3 alpha	International Protein Index (IPI)
IPI00886162.1	63 kDa protein	International Protein Index (IPI)
IPI00856931.1	Inositol polyphosphate-5-phosphatase A isoform a	International Protein Index (IPI)
IPI00928383.1	82 kDa protein	International Protein Index (IPI)
IPI00886191.1	40 kDa protein	International Protein Index (IPI)
IPI00652895.1	Putative uncharacterized protein	International Protein Index (IPI)
IPI00881954.1	88 kDa protein	International Protein Index (IPI)
IPI00880362.1	12 kDa protein	International Protein Index (IPI)
IPI00621986.3	20 kDa protein	International Protein Index (IPI)
IPI00831202.2	22 kDa protein	International Protein Index (IPI)
IPI00776374.1	Capping protein (Actin filament) muscle Z-line, beta	International Protein Index (IPI)
IPI00857784.1	29 kDa protein	International Protein Index (IPI)
IPI00848566.1	Microtubule-actin crosslinking factor 1	International Protein Index (IPI)
IPI00754965.1	Glutathione synthetase	International Protein Index (IPI)
IPI00652445.1	Putative uncharacterized protein	International Protein Index (IPI)
IPI00880876.1	6 kDa protein	International Protein Index (IPI)
IPI00406693.4	Astrotactin 2 isoform a	International Protein Index (IPI)
IPI00348328.4	Keratin Kb40	International Protein Index (IPI)
IPI00751092.1	Similar to Rps13 protein	International Protein Index (IPI)
IPI00473555.1	Truncated annexin IV	International Protein Index (IPI)
IPI00668389.2	Putative uncharacterized protein	International Protein Index (IPI)
IPI00648577.3	Stomatin (Epb7.2)-like 2	International Protein Index (IPI)
IPI00753102.2	Similar to Glyceraldehyde-3-phosphate dehydrogenase	International Protein Index (IPI)
IPI00662793.4	78 kDa protein	International Protein Index (IPI)
IPI00918702.1	12 kDa protein	International Protein Index (IPI)
IPI00620663.3	Similar to Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) isoform 3	International Protein Index (IPI)
IPI00318182.1	Putative uncharacterized protein	International Protein Index (IPI)
IPI00675436.2	Similar to Proteasome (prosome, macropain) 26S subunit, non-ATPase, 2 isoform 1	International Protein Index (IPI)
IPI00134344.6	Putative uncharacterized protein	International Protein Index (IPI)
IPI00121419.1	Hypothetical protein	International Protein Index (IPI)
IPI00263233.9	Inositol 1,4,5-triphosphate receptor 2	International Protein Index (IPI)
IPI00890202.1	81 kDa protein	International Protein Index (IPI)
IPI00881167.1	15 kDa protein	International Protein Index (IPI)
IPI00649316.1	Protein	International Protein Index (IPI)
IPI00462119.3	62 kDa protein	International Protein Index (IPI)
IPI00918829.1	MHC class I H-2Dp (Fragment)	International Protein Index (IPI)
IPI00882378.1	23 kDa protein	International Protein Index (IPI)
IPI00850035.1	Similar to the murine homolog of receptor-like tyrosine phosphatase gamma PTPRG	International Protein Index (IPI)
IPI00918245.2	Svil protein	International Protein Index (IPI)
IPI00869446.1	H2-D1 protein (Fragment)	International Protein Index (IPI)
IPI00918689.1	47 kDa protein	International Protein Index (IPI)
IPI00849953.1	Dynein, axonemal, heavy chain 10	International Protein Index (IPI)
IPI00309413.5	Non-catalytic region of tyrosine kinase adaptor protein 2	International Protein Index (IPI)
IPI00466651.1	EGF-like repeats and discoidin I-like domains 3 isoform b	International Protein Index (IPI)
ZCD1_MOUSE	Zinc finger CDGSH domain-containing protein 1	UniprotKB
VATE_MOUSE	Vacuolar ATP synthase subunit E	UniprotKB
VATC_MOUSE	Vacuolar ATP synthase subunit C	UniprotKB
VATA1_MOUSE	Vacuolar ATP synthase catalytic subunit A, ubiquitous isoform	UniprotKB
VA0D_MOUSE	Vacuolar ATP synthase subunit d	UniprotKB
UQCR2_MOUSE	Ubiquinol-cytochrome-c reductase complex core protein 2, mitochondrial precursor	UniprotKB
UQCR1_MOUSE	Ubiquinol-cytochrome-c reductase complex core protein I, mitochondrial precursor	UniprotKB
